file,keyword,text_a,text_c,match_a,match_b,match_c,match_d,condition
강원도_가족관계증명서_child_female_echo_0053.mp3,가족관계증명서, 가족 관계 증명서 있어야 혼인 신고 하나?, 가족 관계 증명서 있어야 혼잉 신고하나?,1,1,1,1,
강원도_가족관계증명서_child_female_onyx_0090.mp3,가족관계증명서, 가족관계 증명서 한통 발급 좀 해주시오와야, 가족관계 증명서 한통 발급 좀 해주시오와야,1,1,1,1,
강원도_가족관계증명서_child_male_nova_0081.mp3,가족관계증명서, 가족번리의 증명서가 왜 필요한기고, 가족번리의 증명서가 왜 필요한기고,0,1,0,1,
강원도_가족관계증명서_middleaged_female_echo_0094.mp3,가족관계증명서, 지금도 가족 관계 직명서 두부 발급 좀 해주시오 두 개 맛있네구만, 지금도 가족 관계 직명서 두부 발급 좀 해주시오 두 개 맛있네구만,0,1,0,1,
강원도_가족관계증명서_middleaged_female_nova_0000.mp3,가족관계증명서, 가족 관계의 증명서 한 통 발급 좀 해주시면 안 되겠습니까?, 가족 관계의 증명서 한 통 발급 좀 해주시면 안 되겠습니까?,0,1,0,1,
강원도_가족관계증명서_middleaged_male_echo_0006.mp3,가족관계증명서, 가족 관계 측령서 발급 좀 해주시오. 뭐 있어야 되노?, 가족 관계 측명서 발급 좀 해주시오 뭐 있어야 되노?,0,1,0,1,
강원도_가족관계증명서_middleaged_male_shimmer_0026.mp3,가족관계증명서, 가락건치 증명서 한 부 발급 좀 해주시오, 가락건계 증명서 한 부 발급 좀 해주시오,0,0,0,0,
강원도_가족관계증명서_middleaged_male_shimmer_0043.mp3,가족관계증명서, 그 폐서그런데 가족 관계 직량서 빨리 되나요?, 그 폐서그런데 가족 관계 직량서 빨리 되나요?,0,1,0,1,
강원도_가족관계증명서_senior_female_onyx_0045.mp3,가족관계증명서, 내 이름으로 가족 간계 직명서 발급 좀 해주시엄은 부문임 다 나온가?, 내 이름으로 가족 관계 직명서 발급 좀 해주시여 문 부문임 다 나온가?,0,1,0,1,
강원도_가족관계증명서_senior_female_shimmer_0082.mp3,가족관계증명서, 상세로 발급 좀 해주시어야 했은가? 가족 관계 진명서, 상세로 발급 좀 해주시어야 했은가? 가족 관계 진명서,0,1,0,1,
강원도_가족관계증명서_senior_male_alloy_0076.mp3,가족관계증명서, 가족 관계 증명서 한 통 발급 좀 해주시오 주시면 안 되겠으니까, 가족 관계 증명서 한 통 발급 좀 해주시오 주시면 안 되겠으니까,1,1,1,1,
강원도_가족관계증명서_senior_male_onyx_0095.mp3,가족관계증명서, 가족 관계 증명서 있어야 혼인 신고 하나?, 가족 관계 증명서 있어야 혼인 신고 하나?,1,1,1,1,
강원도_가족관계증명서_youngadult_female_nova_0073.mp3,가족관계증명서, 인터넷으로 가족 관계 증명서 떨라고 그러는다., 인터넷으로 가족 관계 증명서 떨라고 그러는다.,1,1,1,1,
강원도_가족관계증명서_youngadult_female_onyx_0042.mp3,가족관계증명서, 가족 관계 증명소에 우리 형제들 다 나오니까?, 가족 관계 증명서의 우리 형제들 다 나오니까?,0,1,1,1,
강원도_가족관계증명서_youngadult_female_onyx_0059.mp3,가족관계증명서, 가족 관계 증명서 밝은 신청합니다., 가족 관계 증명서 밝은 신청합니다.,1,1,1,1,
강원도_가족관계증명서_youngadult_female_onyx_0077.mp3,가족관계증명서, 인터넷으로 가족 관계 증명서 빨라간다., 인터넷으로 가족 관계 증명서 빨라간다.,1,1,1,1,
강원도_가족관계증명서_youngadult_female_onyx_0083.mp3,가족관계증명서, 가족관계 직명서 떨람은 뭐 있어야 한 뒤야?, 가족관계 직명서 떨람은 뭐 있어야 한 뒤야?,0,1,0,1,
강원도_가족관계증명서_youngadult_female_onyx_0098.mp3,가족관계증명서, 가족 관계 직명서 떨람은 뭐 있어야 한 뒤야?, 가족 관계 증명서 떨람은 뭐 있어야 한 뒤야?,0,1,1,1,
강원도_가족관계증명서_youngadult_male_nova_0032.mp3,가족관계증명서, 상세로 발급 좀 해주셔야 되나? 가족관계의 증명서, 상세로 발급 좀 해주셔야 되나? 가족관계의 증명서,0,1,0,1,
강원도_가족관계증명서_youngadult_male_shimmer_0033.mp3,가족관계증명서, 인터넷으로 가족 관계 직명사 발급 좀 해주시오., 인터넷으로 가족 관계 직명사 발급 좀 해주시오.,0,1,0,1,
강원도_건강보험자격득실확인서_child_female_alloy_0177.mp3,건강보험자격득실확인서, 건강보험 자격특실 확인서 한통 발급 좀 해주시오. 야쓰고 있다., 건강보험 자격특실 확인서 한통 발급 좀 해주시오. 야쓰 겉다.,0,1,0,1,
