file,keyword,text_a,text_c,match_a,match_b,match_c,match_d,condition
강원도_가족관계증명서_child_female_nova_0010.mp3,가족관계증명서, 아버지 기준으로 가족 반계 직명서 한통, 아버지 기준으로 가족 반계 직명서 한통,0,1,0,1,
강원도_가족관계증명서_child_male_echo_0022.mp3,가족관계증명서, 인터넷으로 가족 관계 진명서 발급 좀 해주시어주소, 인터넷으로 가족 관계 증명서 발급 좀 해주시어주소,0,1,1,1,
강원도_가족관계증명서_child_male_nova_0035.mp3,가족관계증명서, 급해서 그런데 가족 관계 증명서 빨리 되나에?, 급해서 그런데 가족 관계 증명서 빨리 되나에?,1,1,1,1,
강원도_가족관계증명서_middleaged_female_onyx_0071.mp3,가족관계증명서, 가족 관계 증명서 한 부만 있음은 Fendi, 가족 관계 증명서 한 부만 있으면 된 뒤,1,1,1,1,
강원도_가족관계증명서_middleaged_male_echo_0018.mp3,가족관계증명서, 가족 관계 진명서 상세로 한통 발급 좀 해주시오, 가족 관계 진명서 상세로 한통 발급 좀 해주시오,0,1,0,1,
강원도_가족관계증명서_middleaged_male_echo_0036.mp3,가족관계증명서, 상세로 발급 좀 해주시어야 쓴가? 가족 관계 직명소구만, 상세로 발급 좀 해주시어야 하슨가? 가족 관계 직명서구만,0,1,0,1,
강원도_가족관계증명서_middleaged_male_echo_0053.mp3,가족관계증명서, 가족관계의 진명서 발급 좀 해주시오는 거 아이가?, 가족관계의 증명서 발급 좀 해주시오는 거 아이가?,0,1,0,1,
강원도_가족관계증명서_middleaged_male_echo_0074.mp3,가족관계증명서, 먼저 가족 관계 직명서 산부 바로 밝은 빨급 좀 해주시오 주소하우, 먼저 가족 관계 직명서 3부 바로 발급발급 좀 해주시오 주프사 How,0,1,0,1,
강원도_가족관계증명서_middleaged_male_echo_0083.mp3,가족관계증명서, 지금 부 가족 증명사 원부 필요하오다. 발급 좀 해주시오. 발급 좀 해주시오. 두 개 맞슨내., 지금 부 가족 증명서 원부 필요하오다. 발급 좀 해주시오. 발급 좀 해주시오. 두 개 맞슨내.,0,1,0,1,
강원도_가족관계증명서_middleaged_male_nova_0086.mp3,가족관계증명서, 3세로 발급 좀 해주시어야 되나 가족관계 증명서, 단세로 발급 좀 해주시어야 되나 가족관계 증명서,1,1,1,1,
강원도_가족관계증명서_middleaged_male_onyx_0089.mp3,가족관계증명서, 동사무소에 가족 관계 직명서 발급 좀 해주시오러 가해 쓰고 있다., 동사무소에 가족 관계 직명서 발급 좀 해주시오러 가해 쓰고 있다.,0,1,0,1,
강원도_가족관계증명서_youngadult_female_shimmer_0025.mp3,가족관계증명서, 상세로 발급 좀 해주시어야 되나? 가족 관계 직명서?, 상세로 발급 좀 해주시어야 되나? 가족 관계 직명서?,0,1,0,1,
강원도_건강보험자격득실확인서_child_female_echo_0110.mp3,건강보험자격득실확인서, 엄보 자격득시로 확인서 내부 발극 좀 해주시오. 해주시오. 네., 엄보 자격득시로 확인서 내부 발극정 해주시오. 해주시오. 네.,0,1,0,1,
강원도_건강보험자격득실확인서_child_female_nova_0132.mp3,건강보험자격득실확인서, 자격 득실 확인서 발급 좀 해주시오는데 오래 걸리나?, 자격 득시 확인서 발급 좀 해주시오는데 오래 걸리나?,0,1,0,1,
강원도_건강보험자격득실확인서_child_female_onyx_0182.mp3,건강보험자격득실확인서, 건강보험 자격 득실 확인서는 어디서된다냐, 권강부험 자격듭실 확인서는 어디서된다냐,1,1,0,1,
강원도_건강보험자격득실확인서_child_female_shimmer_0199.mp3,건강보험자격득실확인서, 건강 보험공단 가서 자격특수하긴서 발급 좀 해주시오 고와야, 건강 보험공단 가서 자격특수하긴서 발급 좀 해주시오 고와야,0,1,0,1,
강원도_건강보험자격득실확인서_child_male_shimmer_0101.mp3,건강보험자격득실확인서, 자격 특수하긴 해서 한 통만 발급 좀 해주시오. 주쇄행, 자격 특수하긴 해서 한 통만 발급 좀 해주시오. 주쇼잉,0,1,0,1,
강원도_건강보험자격득실확인서_middleaged_female_nova_0113.mp3,건강보험자격득실확인서, 급하게 건강보험 자격득실 확인서 한부 바로 발급 좀 해주시오 해주게 맞으네구만, 급하게 건강보험 자격득실 확인서 한 부 바로 발급 좀 해주시오 해주게 맞으네구만,1,1,1,1,
강원도_건강보험자격득실확인서_middleaged_female_nova_0121.mp3,건강보험자격득실확인서, 자격 특실 확인서 출력 좀 해줘, 자격 특식실 확인서 툴력 좀 해줘,0,1,0,1,
강원도_건강보험자격득실확인서_middleaged_male_alloy_0142.mp3,건강보험자격득실확인서," 건강보험 자격 특실 확인서 중, 발급 좀 해주시오 주시오."," 건강보험 자격 특실 확인서 중, 발급 좀 해주시오 주시오.",0,1,0,1,
강원도_건강보험자격득실확인서_middleaged_male_nova_0137.mp3,건강보험자격득실확인서, 건강보험 자격 즉실 확인서는 본인만 떼 수 있나?, 건강보험 자격 즉실 확인서는 본인만 떼 수 있나?,0,1,0,1,
강원도_건강보험자격득실확인서_middleaged_male_shimmer_0153.mp3,건강보험자격득실확인서, 자격득실 확인서 두부 발근 좀 해주시오. 해 주라오., 자역득실 확인서 두 후보 발근 좀 해주시오. 해 주라오.,0,1,0,1,
강원도_건강보험자격득실확인서_middleaged_male_shimmer_0192.mp3,건강보험자격득실확인서, 자격 득슈 확인선은 못담씨 발급 좀 해주시는 것이요, 자격 특수 확인선은 못담씨 발급 좀 해주시는 것이요,0,1,0,1,
강원도_건강보험자격득실확인서_senior_female_alloy_0145.mp3,건강보험자격득실확인서, 자격 듯 실 확인서 한 통만 발급 좀 해주시여 주소, 자격대치를 확인해서 한 통만 발급 좀 해주시여 주소,0,1,0,1,
